ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom
 1  3  2 19  8,0.339202,133.1751016,5492.76,9329.29,25.34937,26.08846,0.63204,180,132,24,24,0,0,0,127,0.71,0.13,0.43
 1  3  2 19  9,0.294672,136.2319935,6208.14,9483.68,25.09624,26.35724,0.6425,192,144,12,0,0,0,0,127,0.66,0.03,0.1
 1  3  2 21  0,0.192974,109.2596402,6899.3,20473.3,41.19826,41.39233,0.7473,240,132,12,0,0,0,0,181,0.75,0.03,0.09
 1  3  2 21  1,0.206059,107.6866371,6411.1,20396.1,41.19826,41.39233,0.74448,240,120,12,0,12,0,0,181,0.75,0.06,0.22
 1  3  2 21  2,0.218027,111.3054907,6048.39,20301.8,41.16589,41.30203,0.74104,240,120,12,0,0,12,0,181,0.75,0.06,0.19
 1  3  2 21  3,0.250358,89.582755,5267.18,20261.8,40.96944,41.24149,0.73958,240,120,12,0,0,0,12,181,0.75,0.06,0.18
 1  3  2 21  4,0.203877,107.3630174,6480.65,20384.6,41.19826,41.39233,0.74406,240,120,12,12,0,0,0,187,0.78,0.06,0.2
 1  3  2 21  5,0.20461,111.2644615,6539.56,20313.3,40.66012,41.23029,0.74146,240,132,12,12,0,0,0,181,0.75,0.06,0.2
 1  3  2 21  6,0.203162,109.1223813,6489.86,20362.1,41.1103,41.38224,0.74324,240,132,24,0,0,0,0,187,0.78,0.06,0.18
 1  3  2 21  7,0.203895,110.3062989,6743.68,20261.8,39.07498,39.85586,0.73958,240,144,24,0,0,0,0,181,0.75,0.06,0.18
 1  3  2 21  8,0.225702,111.5930467,6088.7,20086.5,38.23868,39.11635,0.73318,240,120,24,24,0,0,0,193,0.8,0.12,0.38
 1  3  2 21  9,0.20171,111.6533419,6531.54,20315.5,41.1103,41.34684,0.74154,252,132,12,0,0,0,0,193,0.77,0.03,0.09
 1  3  2 24  0,0.166319,104.9036839,7535.83,24756.6,45.06696,45.43169,0.77588,240,144,12,0,0,0,0,175,0.73,0.03,0.09
 1  3  2 24  1,0.177554,101.7601243,7114.42,24672.3,45.06696,45.43169,0.77324,240,132,12,0,12,0,0,175,0.73,0.06,0.21
 1  3  2 24  2,0.18783,102.2138901,6800.3,24559.4,44.97345,45.2042,0.7697,240,132,12,0,0,12,0,175,0.73,0.06,0.18
 1  3  2 24  3,0.21559,85.99766675,5938.56,24517.3,44.77662,45.03333,0.76838,240,132,12,0,0,0,12,175,0.73,0.06,0.18
 1  3  2 24  4,0.175681,103.172732,7206.17,24653.2,45.06696,45.43068,0.77264,240,132,12,12,0,0,0,181,0.75,0.06,0.2
 1  3  2 24  5,0.176311,105.3456581,7204.57,24604.7,44.93726,45.32091,0.77112,240,144,12,12,0,0,0,175,0.73,0.06,0.19
 1  3  2 24  6,0.175067,105.1278965,7296.27,24603.4,44.42981,44.9331,0.77108,240,144,24,0,0,0,0,181,0.75,0.06,0.18
 1  3  2 24  7,0.175696,104.6196082,7268.34,24539.6,45.0308,45.36565,0.76908,240,156,24,0,0,0,0,175,0.73,0.06,0.17
 1  3  2 24  8,0.19442,109.2831318,6560.14,24405,45.0308,45.41131,0.76486,240,132,24,24,0,0,0,187,0.78,0.11,0.37
 1  3  2 24  9,0.17382,103.8478611,7371.79,24565.1,44.13658,44.76651,0.76988,252,144,12,0,0,0,0,187,0.74,0.03,0.09
 1  3  2 25  0,0.168484,98.25972865,7380.38,24731.6,45.02489,45.37806,0.7794,216,120,36,0,0,0,0,175,0.81,0.1,0.29
 1  3  2 25  1,0.179781,97.73573759,7009.04,24639.5,45.0212,45.48795,0.7765,216,108,36,0,12,0,0,175,0.81,0.13,0.42
 1  3  2 25  2,0.190114,99.12431659,6714.68,24525.9,45.0212,45.35052,0.77292,216,108,36,0,0,12,0,175,0.81,0.13,0.39
 1  3  2 25  3,0.218028,81.16119563,5884.73,24470.7,44.93299,45.16421,0.77118,216,108,36,0,0,0,12,175,0.81,0.13,0.38
 1  3  2 25  4,0.177898,100.8065716,7093.16,24621.1,45.0212,45.48795,0.77592,216,108,36,12,0,0,0,181,0.84,0.13,0.4
 1  3  2 25  5,0.178531,102.3788683,7080.95,24590,45.02044,45.44286,0.77494,216,120,36,12,0,0,0,175,0.81,0.12,0.39
 1  3  2 25  6,0.17728,100.7585062,7152.74,24578.6,44.59451,45.04493,0.77458,216,120,48,0,0,0,0,181,0.84,0.12,0.38
 1  3  2 25  7,0.177913,101.140249,7171.9,24535.5,44.36797,44.57502,0.77322,216,132,48,0,0,0,0,175,0.81,0.12,0.36
 1  3  2 25  8,0.196741,102.4711486,6556.66,24367.3,43.52905,43.7396,0.76792,216,108,48,24,0,0,0,187,0.87,0.18,0.58
 1  3  2 25  9,0.176026,101.2974162,7240.38,24525.3,44.29826,44.99912,0.7729,228,120,36,0,0,0,0,187,0.82,0.09,0.28
 1  3  2 26  0,0.211969,108.5346633,7260.46,13883.7,32.26246,33.14189,0.72314,168,96,24,0,0,0,0,133,0.79,0.08,0.25
 1  3  2 26  1,0.23064,107.6744147,6740.28,13785.8,32.26246,33.14189,0.71804,168,84,24,0,12,0,0,133,0.79,0.12,0.42
 1  3  2 26  2,0.247719,112.2838395,6363.27,13682.1,32.26246,33.14189,0.71264,168,84,24,0,0,12,0,133,0.79,0.12,0.38
 1  3  2 26  3,0.293854,87.97712949,5397.48,13631,32.26246,32.92738,0.70998,168,84,24,0,0,0,12,133,0.79,0.12,0.37
 1  3  2 26  4,0.227528,110.9722537,6849.11,13764.3,32.26246,33.14189,0.71692,168,84,24,12,0,0,0,139,0.83,0.12,0.4
 1  3  2 26  5,0.228574,115.7876356,6887.63,13735.5,32.26246,33.14189,0.71542,168,96,24,12,0,0,0,133,0.79,0.12,0.38
 1  3  2 26  6,0.226507,115.0755973,6935.9,13713.2,32.25279,33.1329,0.71426,168,96,36,0,0,0,0,139,0.83,0.12,0.36
 1  3  2 26  7,0.227553,114.8486078,6997.49,13668.6,31.72658,32.5153,0.71194,168,108,36,0,0,0,0,133,0.79,0.12,0.35
 1  3  2 26  8,0.25867,117.4978016,6243.34,13483.9,30.89687,31.835,0.70232,168,84,36,24,0,0,0,145,0.86,0.19,0.62
 1  3  2 26  9,0.224435,116.0019466,7042.63,13656.7,32.25279,33.1329,0.71132,180,96,24,0,0,0,0,145,0.81,0.08,0.24
 1  3  2 27  0,0.215193,118.5590833,7089.03,15328.4,34.20222,34.5392,0.71882,204,144,12,0,0,0,0,139,0.68,0.03,0.1
 1  3  2 27  1,0.232004,114.8080449,6523.59,15214.5,34.20222,34.5392,0.71348,204,132,12,0,12,0,0,139,0.68,0.07,0.23
 1  3  2 27  2,0.24738,117.9153384,6087.11,15115.1,34.20222,34.5392,0.70882,204,132,12,0,0,12,0,139,0.68,0.07,0.2
 1  3  2 27  3,0.288917,94.43827731,5201.57,15078.5,34.20222,34.5392,0.7071,204,132,12,0,0,0,12,139,0.68,0.07,0.19
 1  3  2 27  4,0.229202,118.755952,6598.38,15198.7,34.20222,34.5392,0.71274,204,132,12,12,0,0,0,145,0.71,0.07,0.22
 1  3  2 27  5,0.230144,117.4836163,6630.96,15200.9,33.74022,34.63976,0.71284,204,144,12,12,0,0,0,139,0.68,0.06,0.21
 1  3  2 27  6,0.228282,117.405703,6669.58,15188.5,33.96076,34.46795,0.71226,204,144,24,0,0,0,0,145,0.71,0.06,0.19
 1  3  2 27  7,0.229224,119.4286979,6702.98,15094.3,33.49419,34.21657,0.70784,204,156,24,0,0,0,0,139,0.68,0.06,0.19
 1  3  2 27  8,0.257241,120.3603604,6017.33,14933.9,32.65034,33.49419,0.70032,204,132,24,24,0,0,0,151,0.74,0.12,0.41
 1  3  2 27  9,0.226417,120.2141372,6705.18,15140.7,33.96076,34.46795,0.71002,216,144,12,0,0,0,0,151,0.7,0.03,0.1
 1  3  2 29  0,0.170023,100.681538,6330.01,33388.5,52.90771,53.06175,0.79054,288,144,24,24,0,0,0,229,0.8,0.1,0.33
