ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom,gas_sorption,gas_desorption,gas_desor_vstpv,gas_sor_vstpv
 0  1  1 14  0,0.271272,128.9409874,7118.58,4279.63,21.46298,22.58772,0.63944,72,60,12,0,0,0,0,49,0.68,0.08,0.25,25.42399933,4.180816136,25.37654341,154.3175308
 0  1  1 14  1,0.324833,125.4327868,5871.65,4197.04,21.45326,22.57644,0.6271,72,48,12,0,12,0,0,49,0.68,0.17,0.58,20.63518681,3.377423809,24.54777486,149.9805617
 0  1  1 14  2,0.373825,128.1170575,5066.65,4113.92,21.45791,22.03679,0.61468,72,48,12,0,0,12,0,49,0.68,0.17,0.5,19.10021925,3.78327309,31.64480772,159.7618652
 0  1  1 14  3,0.506169,87.67771372,3737.74,4072.96,21.45415,21.84163,0.60856,72,48,12,0,0,0,12,49,0.68,0.17,0.48,9.817096368,2.07555845,23.5069855,111.1846992
 0  1  1 14  4,0.315904,130.5398186,6014.35,4184.73,21.45326,22.48545,0.62526,72,48,12,12,0,0,0,55,0.76,0.17,0.54,22.45302777,3.98496033,28.16732179,158.7071403
 0  1  1 14  5,0.318906,130.772007,5890.15,4171.87,21.38001,22.2127,0.62334,72,60,12,12,0,0,0,49,0.68,0.15,0.5,22.95926306,4.632503968,33.05559038,163.8275974
 0  1  1 14  6,0.312975,129.6330965,6032.67,4170.67,21.46281,22.45375,0.62316,72,60,24,0,0,0,0,55,0.76,0.15,0.46,22.66421656,4.152792957,29.08147,158.7145665
 0  1  1 14  7,0.315976,130.9948975,6193,4097.18,20.56122,21.67116,0.61218,72,72,24,0,0,0,0,49,0.68,0.14,0.43,22.92849153,4.400264882,31.1099523,162.1048498
 0  1  1 14  8,0.405242,129.0003398,4884.74,3927.72,19.72235,20.92253,0.58686,72,48,24,24,0,0,0,61,0.85,0.29,0.93,18.59841345,4.371523353,39.63817773,168.6385176
 0  1  1 14  9,0.307032,131.8585553,6146.48,4127.17,21.4617,22.16021,0.61666,84,60,12,0,0,0,0,61,0.73,0.08,0.23,23.85054422,4.656864489,31.99216787,163.8507232
 0  1  1 15  0,0.291288,131.5784223,6003.42,5009.56,23.96878,24.65795,0.63052,96,72,12,0,0,0,0,67,0.7,0.07,0.2,24.26939288,4.081283321,26.60025291,158.1786751
 0  1  1 15  1,0.336407,125.700611,5144.35,4937.9,23.96878,24.65795,0.6215,96,60,12,0,12,0,0,67,0.7,0.13,0.47,20.20536668,3.505771764,26.38852348,152.0891344
 0  1  1 15  2,0.377676,126.4591451,4577.21,4846.53,23.96878,24.3974,0.61,96,60,12,0,0,12,0,67,0.7,0.13,0.4,18.34175067,3.377174341,28.53903582,154.9981809
 0  1  1 15  3,0.48916,89.1620123,3547.26,4807.44,23.96878,24.20077,0.60508,96,60,12,0,0,0,12,67,0.7,0.13,0.39,10.08061094,1.934271592,21.17068048,110.3326928
 0  1  1 15  4,0.328886,132.9526235,5253.18,4922.8,23.96878,24.65795,0.6196,96,60,12,12,0,0,0,73,0.76,0.13,0.43,21.78206364,3.71510307,27.33900358,160.2916271
 0  1  1 15  5,0.331414,131.0808502,5227.94,4893.88,23.73328,24.54768,0.61596,96,72,12,12,0,0,0,67,0.7,0.12,0.41,21.9075876,4.230855853,31.37368323,162.4545334
 0  1  1 15  6,0.326418,133.6887623,5289.75,4900.39,23.96442,24.64015,0.61678,96,72,24,0,0,0,0,73,0.76,0.12,0.38,22.61087314,4.30652045,31.45335967,165.142122
 0  1  1 15  7,0.328946,129.8960767,5427.65,4810.77,22.20014,23.69209,0.6055,96,84,24,0,0,0,0,67,0.7,0.12,0.35,21.93118227,4.282796173,31.5223396,161.4184162
 0  1  1 15  8,0.404141,124.8463356,4516.3,4652.98,21.37171,22.84902,0.58564,96,60,24,24,0,0,0,79,0.82,0.24,0.76,17.63814548,3.831872366,34.65056931,159.4969049
 0  1  1 15  9,0.321412,137.0384002,5395.69,4854.47,23.96442,24.54895,0.611,108,72,12,0,0,0,0,79,0.73,0.06,0.19,23.54358121,4.488370093,32.27878469,169.3171848
 0  1  1 16  0,0.148704,97.3469096,9888.53,6704.88,25.42273,26.74657,0.7689,48,36,12,0,0,0,0,37,0.77,0.12,0.38,32.61593359,3.358711374,11.17536621,108.5222758
 0  1  1 16  1,0.189814,92.92676547,8150.94,6578.26,25.42273,26.65446,0.75438,48,24,12,0,12,0,0,37,0.77,0.25,0.88,24.49447338,2.61453212,11.10423517,104.0310006
